id,ano_nascimento,nivel_educacao,estado_civil,renda_familiar_anual,num_criancas,num_adolescentes,data_cadastro,total_dias_ultima_compra,reclamacoes_ultimos_2_anos
2139,1975,Mestrado,Casado,7.5,1,0,02-10-2013,19,0
1371,1976,Graduação,Solteiro,79.941,0,0,28-06-2014,72,0
9909,1996,Ensino Médio,Casado,7.5,0,0,09-11-2012,24,0
7286,1968,Graduação,Casado,41.728,1,0,24-05-2013,92,0
7244,1951,Graduação,Solteiro,,2,1,01-01-2014,96,0
6566,1954,Doutorado,Casado,72.55,1,1,08-11-2012,39,0
8614,1957,Graduação,Viúvo,65.486,0,1,12-05-2014,29,0
4114,1964,Mestrado,Casado,79.143,0,0,11-08-2012,2,0
1331,1977,Graduação,Solteiro,35.79,1,0,02-01-2013,54,0
2225,1977,Graduação,Divorciado,82.582,0,0,07-06-2014,54,0
9381,1978,Graduação,Casado,66.373,1,1,12-06-2013,57,0
6260,1955,Mestrado,Casado,82.384,0,0,19-11-2012,55,0
10383,1966,Graduação,Divorciado,70.287,0,0,02-04-2013,30,0
7437,1988,Graduação,Solteiro,27.938,1,0,28-04-2014,31,0
8557,1982,Graduação,Solteiro,,1,0,17-06-2013,57,0
8375,1968,Doutorado,Casado,55.954,0,1,03-03-2014,63,0
6853,1982,Mestrado,Solteiro,75.777,0,0,04-07-2013,12,0
3076,1975,Graduação,Casado,66.653,1,1,07-09-2012,18,0
1012,1952,Graduação,Solteiro,61.823,0,1,18-02-2013,26,0
6518,1951,Doutorado,Viúvo,67.68,0,1,11-06-2013,8,0
4137,1948,Graduação,Casado,70.666,0,0,06-12-2013,29,0
8082,1971,Graduação,Casado,25.721,1,0,21-05-2013,75,0
1386,1967,Graduação,Casado,32.474,1,1,11-05-2014,0,0
9369,1979,Ensino Médio,Solteiro,88.194,0,1,19-03-2014,19,0
4477,1958,Graduação,Casado,69.096,0,1,27-09-2013,4,0
1357,1970,Graduação,Casado,74.854,1,2,08-04-2013,90,0
1402,1954,Mestrado,Casado,66.991,0,0,11-09-2012,1,0
10629,1973,Ensino Médio,Casado,,1,0,14-09-2012,25,0
6312,1959,Graduação,Casado,65.031,0,1,17-03-2013,29,0
8132,1975,Doutorado,Casado,60.631,1,1,05-04-2013,88,0
1050,1952,Graduação,Casado,28.332,0,0,30-04-2014,58,0
5846,1977,Graduação,Divorciado,40.246,1,0,19-12-2012,68,0
1859,1972,Mestrado,Casado,75.251,0,0,27-08-2012,34,0
7503,1976,Graduação,Solteiro,75.825,0,0,12-10-2012,40,0
10401,1976,Ensino Médio,Casado,26.326,0,0,04-09-2013,12,1
1618,1965,Graduação,Casado,56.046,0,0,02-01-2013,9,0
3332,1985,Graduação,Solteiro,29.76,1,0,29-08-2012,87,0
2261,1969,Graduação,Casado,26.304,1,0,23-06-2013,5,0
5346,1973,Ensino Médio,Casado,23.559,1,0,03-07-2013,87,0
4119,1963,Mestrado,Casado,38.62,0,0,11-05-2013,56,0
535,1987,Graduação,Divorciado,81.361,0,0,25-02-2014,18,0
5268,1960,Graduação,Casado,29.44,1,1,11-08-2013,95,0
273,1970,Mestrado,Casado,36.138,1,1,16-07-2013,48,0
4452,1957,Graduação,Solteiro,50.388,0,1,28-05-2014,3,0
8504,1973,Graduação,Casado,79.593,0,0,12-05-2014,70,0
771,1967,Graduação,Casado,54.178,0,1,21-01-2014,79,0
8996,1957,Doutorado,Casado,,2,1,19-11-2012,4,0
9235,1957,Graduação,Solteiro,,1,1,27-05-2014,45,0
5798,1973,Mestrado,Casado,,0,0,23-11-2013,87,0
11178,1972,Mestrado,Solteiro,42.394,1,0,23-03-2014,69,0
2230,1970,Doutorado,Casado,23.626,1,0,24-05-2014,84,0
7516,1983,Graduação,Casado,30.096,1,0,22-05-2014,30,0
7247,1960,Graduação,Viúvo,47.916,0,1,22-11-2012,72,0
11100,1972,Graduação,Divorciado,51.813,1,1,11-04-2013,37,0
4646,1951,Ensino Médio,Casado,78.497,0,0,01-12-2013,44,0
3037,1983,Doutorado,Casado,50.15,0,0,20-06-2013,32,0
1473,1960,Ensino Médio,Solteiro,47.823,0,1,23-07-2013,0,0
1016,1959,Doutorado,Solteiro,34.554,0,1,30-03-2014,43,0
4518,1979,Graduação,Casado,85.693,0,1,20-04-2013,59,0
9370,1945,Doutorado,Casado,65.846,0,0,17-05-2013,68,0
8908,1959,Graduação,Casado,87.195,0,0,08-05-2014,35,0
8373,1979,Ensino Fundamental,Casado,24.594,1,0,10-12-2013,94,0
7533,1964,Graduação,Casado,49.096,1,1,24-09-2013,15,0
2683,1969,Graduação,Casado,52.413,0,2,02-02-2013,56,0
3629,1978,Graduação,Solteiro,38.557,1,0,19-12-2012,17,0
10991,1960,Mestrado,Casado,89.058,0,0,07-12-2012,18,0
5077,1979,Graduação,Casado,77.298,0,1,02-11-2013,46,0
7431,1991,Doutorado,Solteiro,68.126,0,0,10-11-2012,40,0
3267,1963,Mestrado,Casado,57.288,0,1,25-06-2014,27,0
999,1991,Graduação,Solteiro,86.037,0,0,02-01-2013,95,0
9215,1980,Doutorado,Casado,43.974,1,0,12-12-2012,19,0
2286,1962,Graduação,Solteiro,50.785,1,1,10-09-2013,27,0
1592,1970,Graduação,Casado,90.765,0,0,24-01-2014,25,0
367,1978,Ensino Médio,Casado,36.55,1,0,19-02-2013,74,0
5234,1967,Ensino Médio,Casado,30.753,1,1,11-07-2013,85,0
9862,1969,Graduação,Casado,21.918,1,0,14-11-2013,37,0
9805,1953,Mestrado,Casado,56.129,0,1,20-06-2013,65,0
6205,1967,Mestrado,Solteiro,32.557,1,0,24-02-2014,13,0
8442,1985,Mestrado,Casado,19.51,2,0,04-09-2013,63,0
7386,1976,Graduação,Divorciado,30.992,1,0,22-04-2013,83,0
7215,1983,Graduação,Solteiro,101.97,0,0,12-03-2013,69,0
1491,1965,Ensino Médio,Casado,71.488,0,0,18-02-2013,87,0
11071,1984,Graduação,Solteiro,79.607,0,0,21-04-2013,37,0
3381,1953,Mestrado,Casado,54.348,1,1,08-06-2014,51,0
8268,1961,Doutorado,Casado,,0,1,11-07-2013,23,0
11051,1956,Doutorado,Casado,77.376,1,1,10-05-2014,72,0
8026,1952,Graduação,Casado,62.998,0,1,30-09-2013,10,0
433,1958,Mestrado,Solteiro,61.331,1,1,10-03-2013,42,0
9597,1969,Graduação,Casado,73.448,0,0,10-02-2014,10,0
1295,1963,Graduação,Casado,,0,1,11-08-2013,96,0
5290,1964,Doutorado,Casado,41.551,1,1,14-08-2013,51,0
1685,1967,Doutorado,Casado,62.981,0,0,17-03-2013,21,0
5342,1976,Ensino Fundamental,Divorciado,9.548,1,0,08-08-2012,31,0
9579,1959,Doutorado,Casado,33.762,2,1,07-07-2013,61,0
7660,1973,Doutorado,Solteiro,35.86,1,1,19-05-2014,37,0
1461,1965,Doutorado,Divorciado,36.921,1,1,28-07-2013,74,0
821,1992,Mestrado,Solteiro,92.859,0,0,19-10-2012,46,0
11084,1976,Mestrado,Casado,65.104,0,1,14-11-2013,4,0
8690,1962,Graduação,Casado,86.111,0,0,19-04-2013,73,0
2937,1974,Doutorado,Solteiro,68.352,0,1,28-08-2013,47,0
9701,1988,Graduação,Casado,41.883,1,0,19-03-2013,13,0
9949,1976,Graduação,Casado,59.809,0,2,18-10-2012,36,0
10837,1975,Graduação,Casado,23.957,1,0,28-10-2012,47,0
3120,1981,Graduação,Casado,38.547,1,0,28-08-2013,49,1
5885,1973,Ensino Médio,Casado,35.688,2,1,22-08-2012,94,0
4050,1966,Mestrado,Casado,49.605,0,0,21-06-2014,65,0
3830,1953,Mestrado,Casado,59.354,0,2,24-04-2014,59,0
7987,1969,Graduação,Casado,65.747,0,1,07-03-2014,96,0
7798,1972,Ensino Médio,Casado,46.344,0,1,14-12-2012,28,0
92,1988,Graduação,Solteiro,34.176,1,0,12-05-2014,12,0
7055,1952,Doutorado,Casado,61.01,0,1,09-10-2012,57,0
10240,1949,Graduação,Casado,69.372,0,0,19-02-2013,10,0
3025,1958,Graduação,Solteiro,49.967,0,1,08-07-2013,4,0
9283,1978,Graduação,Solteiro,60.199,1,2,12-09-2013,49,0
9970,1977,Graduação,Casado,55.375,0,1,17-10-2013,3,0
2730,1955,Graduação,Solteiro,80.317,0,0,20-08-2013,64,0
2795,1958,Mestrado,Solteiro,30.523,2,1,01-07-2013,0,0
9260,1945,Doutorado,Casado,70.356,0,0,05-11-2012,20,0
8182,1984,Graduação,Casado,23.228,1,0,05-01-2014,91,0
10095,1975,Doutorado,Divorciado,74.165,0,0,01-05-2013,9,0
8475,1973,Doutorado,Casado,157.243,0,1,01-03-2014,98,0
4370,1966,Graduação,Casado,43.482,2,1,13-11-2013,83,0
10573,1953,Graduação,Divorciado,62.551,0,0,18-11-2013,27,0
3712,1959,Graduação,Divorciado,52.332,0,0,28-08-2013,63,0
6637,1988,Graduação,Solteiro,66.951,0,0,02-11-2013,46,0
3152,1957,Graduação,Casado,26.091,1,1,25-02-2014,84,0
5610,1965,Graduação,Casado,33.456,1,1,21-04-2014,58,0
6460,1982,Graduação,Casado,28.718,1,0,13-07-2013,78,0
1349,1970,Graduação,Casado,50.447,2,0,21-04-2014,4,0
1880,1959,Doutorado,Casado,53.537,1,1,30-01-2014,17,0
641,1967,Graduação,Solteiro,52.074,0,1,04-04-2014,77,0
8717,1975,Doutorado,Casado,80.427,0,1,12-09-2012,56,0
10314,1948,Doutorado,Casado,83.837,0,0,16-12-2012,79,0
10854,1970,Doutorado,Casado,38.853,1,1,23-05-2014,90,0
10492,1959,Graduação,Casado,38.285,2,1,24-06-2014,96,0
6935,1951,Ensino Médio,Casado,78.497,0,0,01-12-2013,44,0
7698,1976,Doutorado,Casado,51.65,0,1,11-05-2014,81,0
3559,1988,Ensino Médio,Casado,16.248,1,0,10-05-2014,77,0
10562,1946,Mestrado,Casado,66.835,0,0,28-09-2013,21,0
10796,1984,Mestrado,Casado,30.477,1,0,22-01-2014,16,0
2563,1961,Ensino Fundamental,Casado,28.249,0,0,15-06-2014,80,0
3518,1983,Graduação,Casado,25.271,1,0,05-12-2012,45,0
5823,1970,Doutorado,Solteiro,32.303,0,1,08-03-2014,63,0
3934,1966,Graduação,Casado,61.286,0,1,02-08-2013,34,0
6982,1976,Graduação,Casado,74.068,0,0,19-03-2013,14,0
6431,1964,Doutorado,Casado,45.759,1,1,23-02-2013,13,0
9733,1978,Ensino Fundamental,Casado,24.882,1,0,09-09-2012,52,0
5602,1989,Doutorado,Casado,66.973,0,0,17-05-2013,98,0
7829,1900,Ensino Médio,Divorciado,36.64,1,0,26-09-2013,99,1
1324,1988,Graduação,Casado,38.872,1,0,30-05-2013,93,0
326,1973,Graduação,Casado,51.148,1,1,18-02-2013,38,0
7224,1977,Graduação,Casado,31.353,1,1,29-12-2013,24,0
6999,1980,Mestrado,Casado,69.661,0,0,13-05-2014,80,0
9938,1954,Graduação,Casado,80.067,0,0,19-09-2013,82,0
6422,1954,Graduação,Casado,86.718,0,0,17-01-2013,20,0
3182,1973,Doutorado,Solteiro,46.854,1,1,31-03-2014,81,0
7300,1952,Graduação,Divorciado,69.142,0,1,29-06-2014,50,0
10424,1968,Graduação,Solteiro,75.922,0,0,09-12-2013,60,0
8727,1978,Graduação,Divorciado,63.693,0,1,14-10-2013,63,0
2798,1977,Doutorado,Casado,102.16,0,0,02-11-2012,54,0
1030,1965,Doutorado,Solteiro,40.637,1,1,17-07-2013,72,0
624,1984,Mestrado,Solteiro,18.89,0,0,10-11-2012,5,0
5176,1988,Graduação,Casado,29.604,1,0,08-12-2013,88,0
5552,1963,Mestrado,Divorciado,48.721,1,1,13-05-2013,50,0
868,1966,Graduação,Casado,44.794,0,1,08-06-2014,99,0
380,1954,Graduação,Divorciado,64.497,0,1,10-09-2012,17,0
2677,1956,Graduação,Casado,46.097,0,1,31-03-2013,11,0
6521,1954,Graduação,Casado,77.972,0,0,18-03-2014,18,0
6927,1968,Doutorado,Casado,44.377,1,1,05-10-2012,70,0
2877,1974,Mestrado,Casado,46.014,1,1,21-01-2013,21,0
0,1985,Graduação,Casado,70.951,0,0,04-05-2013,66,0
1584,1977,Graduação,Casado,41.443,1,0,01-04-2014,79,0
7264,1978,Ensino Médio,Solteiro,52.195,2,1,12-05-2014,2,0
6274,1948,Mestrado,Casado,83.79,0,0,15-11-2013,81,0
1377,1954,Mestrado,Viúvo,44.551,0,1,31-08-2013,24,0
454,1980,Graduação,Casado,69.508,1,0,14-11-2012,48,0
1755,1988,Ensino Médio,Casado,45.204,1,0,11-04-2014,93,0
2075,1969,Graduação,Casado,72.46,0,0,14-11-2013,56,0
4785,1970,Doutorado,Casado,77.622,0,2,14-04-2014,3,0
9076,1980,Doutorado,Casado,30.732,1,0,05-01-2013,44,0
7079,1962,Graduação,Divorciado,63.887,0,1,08-09-2012,38,0
4653,1978,Graduação,Casado,42.011,1,0,26-03-2013,46,0
7375,1976,Graduação,Casado,51.369,0,1,25-10-2012,84,0
709,1952,Graduação,Divorciado,51.537,0,1,09-12-2012,27,0
460,1972,Doutorado,Casado,79.93,0,0,08-08-2012,72,0
3726,1986,Doutorado,Casado,34.32,1,0,16-02-2014,66,0
6798,1966,Graduação,Solteiro,37.07,1,1,20-03-2013,30,0
5341,1962,Ensino Médio,Divorciado,81.975,0,1,05-01-2013,2,0
1606,1971,Graduação,Casado,38.59,1,0,15-05-2013,65,0
9617,1951,Graduação,Solteiro,15.033,0,0,16-04-2014,37,0
3233,1965,Doutorado,Casado,62.745,0,1,23-03-2013,89,0
89,1975,Ensino Médio,Casado,22.212,1,0,09-12-2013,49,0
2936,1982,Mestrado,Casado,23.661,1,0,04-12-2013,46,0
9449,1958,Doutorado,Solteiro,79.761,0,1,04-10-2013,32,0
7297,1973,Graduação,Solteiro,7.5,1,0,26-12-2013,54,0
11004,1893,Ensino Médio,Solteiro,60.182,0,1,17-05-2014,23,0
313,1968,Graduação,Viúvo,73.455,0,0,28-10-2013,98,0
9940,1958,Graduação,Casado,64.961,0,1,23-12-2012,97,0
10735,1971,Graduação,Solteiro,22.804,1,0,31-07-2013,75,0
9529,1990,Graduação,Casado,73.687,0,0,28-11-2013,8,0
6439,1958,Graduação,Casado,61.074,0,1,17-08-2012,37,0
7411,1964,Doutorado,Casado,31.686,1,1,05-06-2014,31,0
2176,1972,Graduação,Casado,80.134,1,0,20-05-2013,40,0
9265,1953,Graduação,Casado,75.027,0,1,09-01-2013,74,0
8867,1988,Doutorado,Casado,67.546,0,0,31-08-2012,90,0
8932,1969,Mestrado,Casado,65.176,0,1,29-10-2012,57,0
10236,1975,Mestrado,Solteiro,31.16,1,0,16-09-2013,59,0
6340,1985,Graduação,Solteiro,29.938,1,0,27-10-2013,52,0
10089,1974,Graduação,Divorciado,102.692,0,0,05-04-2013,5,0
2227,1958,Ensino Médio,Casado,26.49,0,0,22-09-2012,92,0
10992,1967,Graduação,Casado,75.702,1,1,29-08-2012,77,0
5304,1974,Doutorado,Solteiro,30.899,1,0,13-10-2012,35,0
309,1961,Doutorado,Casado,63.342,0,1,16-10-2012,48,0
3406,1964,Graduação,Solteiro,45.989,0,1,22-10-2012,97,0
2661,1964,Graduação,Solteiro,18.701,1,1,04-06-2013,95,0
3153,1957,Doutorado,Solteiro,40.737,2,1,08-12-2013,24,0
10264,1979,Graduação,Divorciado,15.287,1,0,10-10-2012,60,0
1184,1968,Doutorado,Divorciado,69.674,0,2,22-05-2013,46,0
4200,1970,Mestrado,Casado,44.159,1,0,17-06-2014,85,0
9396,1978,Doutorado,Casado,37.717,1,0,23-11-2012,31,0
2387,1952,Mestrado,Casado,43.776,1,1,03-02-2013,9,0
6690,1966,Mestrado,Casado,38.179,1,1,14-03-2013,30,0
1225,1963,Graduação,Casado,80.124,0,0,26-06-2014,47,0
9703,1970,Doutorado,Casado,38.097,1,1,15-10-2012,70,0
291,1970,Graduação,Casado,72.94,0,0,19-06-2013,13,0
4557,1970,Graduação,Casado,22.07,1,0,04-10-2013,11,0
2379,1953,Graduação,Solteiro,69.267,0,0,22-09-2012,31,0
5726,1983,Mestrado,Solteiro,31.788,1,0,20-03-2014,15,1
3066,1975,Doutorado,Casado,61.905,0,1,04-02-2014,2,0
6336,1960,Graduação,Casado,29.315,1,1,06-04-2014,55,0
10967,1963,Graduação,Divorciado,33.378,1,1,06-02-2013,38,0
2304,1963,Doutorado,Casado,66.313,0,1,16-09-2013,86,0
3445,1956,Graduação,Solteiro,60.714,0,0,17-01-2013,56,0
7828,1981,Mestrado,Casado,77.882,0,0,30-04-2014,29,0
3762,1986,Doutorado,Solteiro,69.867,0,0,02-04-2013,30,0
4391,1968,Mestrado,Divorciado,63.841,0,1,21-04-2013,64,0
4669,1981,Ensino Fundamental,Casado,24.48,1,0,11-02-2013,46,0
10144,1976,Graduação,Casado,51.369,0,1,25-10-2012,84,0
8652,1946,Graduação,Casado,37.76,0,0,31-08-2012,20,0
1672,1974,Doutorado,Casado,65.64,0,1,01-03-2014,74,0
8962,1975,Mestrado,Casado,44.319,1,1,17-04-2014,18,0
9974,1974,Graduação,Casado,30.631,1,0,12-07-2013,75,0
10983,1952,Graduação,Casado,75.278,0,0,29-01-2013,17,0
8148,1956,Mestrado,Casado,50.898,1,1,08-01-2013,88,0
10102,1966,Graduação,Viúvo,79.946,0,0,12-05-2014,19,0
4697,1949,Mestrado,Divorciado,35.416,0,0,13-06-2013,62,0
9262,1984,Ensino Médio,Casado,32.414,0,0,04-07-2013,11,0
7254,1969,Graduação,Casado,38.361,1,0,27-12-2013,74,0
4543,1980,Graduação,Casado,82.497,0,0,31-10-2012,32,0
4927,1971,Graduação,Casado,16.626,2,0,15-01-2014,76,0
10451,1965,Graduação,Casado,29.672,1,1,12-03-2013,6,0
2926,1952,Mestrado,Casado,55.951,0,1,23-08-2012,62,0
2874,1988,Ensino Médio,Divorciado,35.388,1,0,07-03-2013,20,0
9738,1986,Mestrado,Casado,42.386,1,0,13-01-2013,43,0
7119,1982,Graduação,Solteiro,68.627,0,0,12-01-2013,45,0
3924,1965,Doutorado,Divorciado,57.912,0,1,17-03-2014,34,0
5827,1958,Graduação,Divorciado,35.246,1,1,16-04-2014,53,0
5596,1956,Ensino Médio,Casado,58.821,0,1,12-10-2013,44,0
10812,1978,Doutorado,Casado,46.377,1,0,01-03-2014,89,0
1717,1988,Graduação,Solteiro,39.747,1,0,13-04-2014,43,0
9491,1984,Graduação,Casado,23.976,1,0,27-12-2013,68,0
9274,1961,Mestrado,Casado,80.95,0,0,28-03-2013,44,0
6609,1966,Graduação,Viúvo,27.038,0,0,18-09-2012,64,0
6963,1947,Graduação,Solteiro,77.457,0,0,05-03-2014,85,0
4440,1964,Mestrado,Casado,64.1,0,1,10-09-2013,93,0
1379,1992,Mestrado,Casado,42.67,0,0,27-04-2013,12,0
10032,1976,Graduação,Divorciado,12.571,1,0,18-01-2014,86,0
2826,1967,Graduação,Casado,22.574,2,1,28-10-2013,28,0
2437,1989,Graduação,Casado,,0,0,03-06-2013,69,0
6320,1976,Mestrado,Solteiro,70.893,0,0,06-02-2013,42,0
3050,1966,Graduação,Casado,54.198,1,1,17-12-2013,13,0
231,1956,Mestrado,Casado,28.839,1,1,11-03-2014,86,0
2392,1972,Graduação,Casado,40.321,1,1,29-07-2013,59,0
9478,1985,Graduação,Solteiro,66.503,1,0,14-08-2012,30,0
113,1951,Graduação,Casado,30.833,1,1,16-07-2013,33,0
2863,1970,Graduação,Solteiro,,1,2,23-08-2013,67,0
1802,1971,Graduação,Casado,64.795,0,1,17-01-2013,23,0
520,1974,Graduação,Casado,34.421,1,0,01-07-2013,81,0
8275,1965,Doutorado,Divorciado,47.025,1,1,09-02-2014,6,0
9750,1961,Doutorado,Divorciado,64.325,0,1,07-02-2013,41,0
2607,1953,Graduação,Solteiro,40.464,0,1,11-01-2013,78,0
7214,1957,Graduação,Casado,62.187,0,0,05-07-2013,49,0
5835,1976,Doutorado,Divorciado,14.849,1,0,02-07-2013,39,0
3896,1984,Graduação,Casado,27.255,1,0,07-11-2013,3,0
10350,1950,Doutorado,Casado,54.432,2,1,09-05-2013,37,0
7786,1986,Doutorado,Solteiro,29.999,1,0,13-02-2013,22,0
2861,1983,Graduação,Solteiro,24.072,1,0,16-04-2013,79,0
663,1989,Doutorado,Solteiro,33.996,0,0,11-09-2013,46,0
10675,1956,Doutorado,Casado,66.334,0,1,03-04-2013,82,0
2521,1971,Mestrado,Casado,35.178,1,0,10-01-2013,10,0
9592,1983,Graduação,Casado,22.01,1,0,30-06-2013,51,0
10151,1960,Graduação,Divorciado,62.204,0,2,12-09-2012,38,0
7381,1968,Graduação,Divorciado,75.693,0,0,06-12-2012,10,0
4099,1972,Graduação,Casado,30.675,1,0,12-11-2012,14,0
9560,1965,Graduação,Casado,83.003,0,0,03-03-2013,18,0
1150,1899,Doutorado,Casado,83.532,0,0,26-09-2013,36,0
10172,1988,Graduação,Solteiro,68.655,0,0,10-08-2012,95,0
11191,1986,Graduação,Divorciado,41.411,0,0,07-12-2013,11,0
9707,1969,Doutorado,Casado,55.212,0,1,23-11-2012,65,0
6245,1950,Doutorado,Casado,59.292,0,1,13-06-2013,71,0
8234,1973,Ensino Fundamental,Casado,27.19,1,0,15-08-2013,13,0
1411,1952,Graduação,Divorciado,82.623,0,0,10-11-2013,58,0
8553,1965,Graduação,Casado,44.3,1,1,23-06-2013,65,0
1826,1970,Graduação,Divorciado,84.835,0,0,16-06-2014,0,0
8842,1971,Graduação,Viúvo,30.372,1,1,25-12-2012,33,0
11030,1976,Mestrado,Casado,33.181,1,0,03-01-2014,90,0
2579,1957,Graduação,Casado,71.113,0,1,17-12-2013,95,0
175,1986,Graduação,Casado,71.952,1,0,10-01-2013,93,0
9185,1966,Doutorado,Solteiro,69.759,0,0,28-10-2013,38,0
11056,1974,Graduação,Casado,72.099,0,0,27-10-2012,18,0
9365,1976,Doutorado,Solteiro,60.0,0,1,22-12-2012,57,0
6201,1978,Graduação,Solteiro,38.643,1,1,29-11-2013,45,1
2061,1955,Graduação,Casado,50.737,0,1,11-05-2013,61,0
6184,1969,Doutorado,Casado,68.462,0,0,12-12-2012,6,0
6142,1943,Mestrado,Casado,65.073,0,0,20-08-2013,65,1
4107,1948,Doutorado,Casado,46.681,0,2,08-10-2013,52,0
7274,1957,Graduação,Casado,78.618,0,0,28-09-2012,87,0
9336,1969,Doutorado,Viúvo,62.187,0,1,22-03-2014,38,0
2958,1978,Graduação,Casado,28.442,2,0,24-02-2014,53,0
933,1978,Doutorado,Casado,37.717,1,0,23-11-2012,31,0
5837,1967,Graduação,Casado,51.479,1,1,28-12-2012,67,0
10704,1969,Graduação,Solteiro,54.803,0,1,21-08-2012,65,0
5125,1960,Graduação,Casado,79.53,0,0,17-05-2013,64,0
4432,1976,Graduação,Divorciado,31.615,1,0,16-03-2013,82,0
5955,1962,Graduação,Casado,72.025,0,0,17-11-2012,27,0
2928,1975,Doutorado,Solteiro,52.614,0,1,01-12-2012,63,0
5680,1984,Ensino Médio,Casado,35.684,1,0,22-04-2014,66,0
10313,1975,Graduação,Casado,48.178,1,1,28-10-2012,69,0
2557,1970,Mestrado,Solteiro,29.548,1,0,29-08-2013,52,0
1245,1966,Graduação,Solteiro,63.81,0,1,11-11-2012,45,0
1519,1972,Doutorado,Solteiro,38.578,1,1,22-06-2013,2,0
10703,1975,Mestrado,Solteiro,46.098,1,1,18-08-2012,86,0
1726,1970,Graduação,Solteiro,22.585,0,0,18-03-2013,23,0
4459,1989,Graduação,Solteiro,30.279,1,0,30-12-2012,13,0
1729,1961,Doutorado,Casado,66.426,0,1,02-10-2013,14,0
1517,1969,Graduação,Solteiro,30.822,1,0,14-06-2013,92,0
2098,1969,Doutorado,Casado,33.581,2,0,08-01-2013,38,0
9543,1985,Graduação,Casado,19.986,1,0,14-11-2013,74,0
6878,1954,Graduação,Viúvo,27.421,0,0,12-12-2012,14,0
3310,1973,Ensino Médio,Casado,35.688,2,1,22-08-2012,94,0
2724,1981,Mestrado,Solteiro,36.143,1,0,30-03-2014,33,0
948,1971,Graduação,Solteiro,10.245,1,0,15-05-2013,32,0
6720,1968,Mestrado,Casado,43.795,0,1,16-10-2013,11,0
6202,1960,Graduação,Casado,63.381,0,1,05-10-2012,78,0
2066,1949,Graduação,Casado,38.823,0,1,30-08-2012,56,0
9799,1968,Doutorado,Divorciado,83.664,1,1,08-05-2013,57,0
8318,1979,Graduação,Casado,90.3,0,0,03-01-2014,7,0
5642,1979,Mestrado,Casado,62.499,1,0,09-12-2013,0,0
